CODE_COUNTRY,VAL
ARE,1.2082931152213698
ATG,1.2464152756387445
KIR,1.3854167333212144
NIU,1.3380348465966545
AIA,1.2722468156929965
REU,1.2060956812334518
KNA,1.2194770150890282
NZL,1.2466458331473431
ASM,1.2575877351668925
URY,1.2783958053161073
CYM,1.2633216795316786
EST,1.2890724770774031
OMN,1.2278591087702597
BEN,1.2098402614261266
VNM,1.2268975405526723
SYC,1.1707099186881829
BMU,1.270928378666224
SGP,1.2363008749991011
BRN,1.2458449097361592
SVN,1.2218652455595054
VUT,1.212700474147227
BES,1.3395173302802685
BTN,1.217687296681387
IMN,1.2693302276032128
STP,1.1316219326105155
ISL,1.2225950717381286
FIN,1.267220523075606
ZMB,1.2395780217276853
FLK,1.4111084404542218
MDA,1.202614061085419
MKD,1.2343852612765918
TCA,1.2898243122810085
COK,1.293050840208534
MNG,1.2131768491800006
MAC,1.2852729915506558
TGO,1.2031559452238019
MNP,1.3337817959088403
WSM,1.2295414560620508
MSR,1.2095769544253658
CRI,1.2300146753130545
QAT,1.2135389969895354
MUS,1.2542176754217875
MDV,1.261637645678114
GAB,1.251291124186932
JPN,1.2484224897246563
CYP,1.2288948654124183
GHA,1.2559105744952137
TUV,1.4255832877336458
TWN,1.2258120378207022
GLP,1.2309386670031353
DNK,1.2200552745608717